"Date","Price","Open","High","Low","Vol.","Change %"
"28/12/2023","7,852.10","7,796.70","7,852.10","7,796.70","665.09M","0.71%"
"27/12/2023","7,796.70","7,730.20","7,823.00","7,730.20","663.63M","0.86%"
"22/12/2023","7,730.20","7,727.80","7,747.80","7,722.10","975.48M","0.03%"
"21/12/2023","7,727.80","7,764.00","7,764.00","7,711.20","1.15B","-0.47%"
"20/12/2023","7,764.00","7,715.90","7,778.50","7,715.90","1.17B","0.62%"
"19/12/2023","7,715.90","7,649.60","7,719.50","7,648.40","1.12B","0.87%"
"18/12/2023","7,649.60","7,661.90","7,667.40","7,629.70","1.03B","-0.16%"
"15/12/2023","7,661.90","7,599.40","7,683.70","7,599.40","3.03B","0.82%"
"14/12/2023","7,599.40","7,469.10","7,599.40","7,469.10","1.51B","1.74%"
"13/12/2023","7,469.10","7,446.40","7,483.40","7,446.00","1.05B","0.30%"
"12/12/2023","7,446.40","7,410.10","7,452.90","7,408.10","1.12B","0.49%"
"11/12/2023","7,410.20","7,405.60","7,438.50","7,400.90","1.13B","0.06%"
"08/12/2023","7,405.60","7,384.70","7,405.60","7,355.40","1.11B","0.28%"
"07/12/2023","7,384.70","7,386.70","7,389.10","7,360.90","1.33B","-0.03%"
"06/12/2023","7,386.70","7,269.80","7,401.00","7,269.80","1.31B","1.61%"
"05/12/2023","7,269.80","7,336.10","7,336.10","7,248.80","1.34B","-0.90%"
"04/12/2023","7,336.10","7,285.10","7,378.20","7,285.10","1.47B","0.70%"
"01/12/2023","7,285.10","7,297.70","7,297.70","7,254.60","1.03B","-0.17%"
"30/11/2023","7,297.70","7,245.80","7,297.70","7,232.40","2.63B","0.72%"
"29/11/2023","7,245.80","7,223.10","7,264.20","7,222.20","1.14B","0.31%"
"28/11/2023","7,223.10","7,192.80","7,255.40","7,191.00","1.01B","0.42%"
"27/11/2023","7,192.80","7,244.10","7,257.60","7,192.80","829.41M","-0.71%"
"24/11/2023","7,244.10","7,234.20","7,268.10","7,233.40","691.79M","0.14%"
"23/11/2023","7,234.20","7,277.80","7,277.80","7,231.30","987.93M","-0.60%"
"22/11/2023","7,277.80","7,289.30","7,295.50","7,265.50","1.03B","-0.16%"
"21/11/2023","7,289.30","7,268.70","7,299.70","7,268.70","1.16B","0.28%"
"20/11/2023","7,268.70","7,261.00","7,282.50","7,259.90","1.03B","0.11%"
"17/11/2023","7,261.00","7,269.50","7,273.60","7,248.40","1.13B","-0.12%"
"16/11/2023","7,269.50","7,316.70","7,320.80","7,260.60","1.08B","-0.65%"
"15/11/2023","7,316.70","7,207.10","7,334.40","7,207.10","1.17B","1.52%"
"14/11/2023","7,207.10","7,145.00","7,212.60","7,145.00","1.08B","0.87%"
"13/11/2023","7,145.00","7,176.60","7,185.40","7,145.00","1.04B","-0.44%"
"10/11/2023","7,176.60","7,215.10","7,218.10","7,164.70","1.15B","-0.53%"
"09/11/2023","7,215.10","7,198.40","7,245.00","7,198.40","1.39B","0.23%"
"08/11/2023","7,198.40","7,176.60","7,200.50","7,167.60","1.32B","0.30%"
"07/11/2023","7,176.60","7,192.30","7,195.10","7,149.50","965.99M","-0.22%"
"06/11/2023","7,192.30","7,175.10","7,203.70","7,175.10","1.11B","0.24%"
"03/11/2023","7,175.10","7,095.00","7,184.40","7,095.00","1.37B","1.13%"
"02/11/2023","7,095.00","7,024.60","7,119.80","7,024.60","1.04B","1.00%"
"01/11/2023","7,024.60","6,967.50","7,024.60","6,967.50","1.13B","0.82%"
"31/10/2023","6,967.50","6,960.20","7,002.20","6,956.90","1.47B","0.10%"
"30/10/2023","6,960.20","7,014.20","7,016.10","6,938.50","1.13B","-0.77%"
"27/10/2023","7,014.20","7,001.10","7,031.20","6,998.50","955.42M","0.19%"
"26/10/2023","7,001.10","7,046.30","7,046.30","6,966.70","1.45B","-0.64%"
"25/10/2023","7,046.30","7,045.60","7,086.30","7,023.90","1.18B","0.01%"
"24/10/2023","7,045.60","7,030.00","7,066.70","7,023.60","1.09B","0.22%"
"23/10/2023","7,030.00","7,089.70","7,089.70","7,017.20","984.21M","-0.84%"
"20/10/2023","7,089.70","7,172.70","7,172.70","7,066.50","1.19B","-1.16%"
"19/10/2023","7,172.70","7,265.70","7,265.70","7,142.50","1.26B","-1.28%"
"18/10/2023","7,265.70","7,244.40","7,265.70","7,233.90","960.99M","0.29%"
"17/10/2023","7,244.40","7,214.60","7,287.10","7,214.60","874.36M","0.41%"
"16/10/2023","7,214.60","7,243.50","7,243.50","7,209.80","860.59M","-0.40%"
"13/10/2023","7,243.50","7,287.40","7,287.40","7,213.10","1.04B","-0.60%"
"12/10/2023","7,287.40","7,281.30","7,305.20","7,277.10","1.08B","0.08%"
"11/10/2023","7,281.30","7,231.00","7,284.30","7,231.00","1.18B","0.70%"
"10/10/2023","7,231.00","7,157.00","7,247.90","7,157.00","1.20B","1.03%"
"09/10/2023","7,157.00","7,143.00","7,188.70","7,143.00","946.98M","0.20%"
"06/10/2023","7,143.00","7,117.50","7,160.60","7,114.50","982.43M","0.36%"
"05/10/2023","7,117.50","7,082.20","7,126.70","7,077.70","1.06B","0.50%"
"04/10/2023","7,082.20","7,141.00","7,141.00","7,062.80","1.19B","-0.82%"
"03/10/2023","7,141.00","7,235.50","7,235.50","7,107.60","1.25B","-1.31%"
"02/10/2023","7,235.50","7,249.70","7,254.50","7,217.20","730.49M","-0.20%"
"29/09/2023","7,249.70","7,222.50","7,265.40","7,222.50","1.16B","0.38%"
"28/09/2023","7,222.50","7,229.80","7,251.00","7,200.00","1.14B","-0.10%"
"27/09/2023","7,229.80","7,238.30","7,238.30","7,203.30","1.12B","-0.12%"
"26/09/2023","7,238.30","7,278.60","7,278.60","7,226.70","1.05B","-0.55%"
"25/09/2023","7,278.60","7,270.00","7,278.60","7,223.20","875.80M","0.12%"
"22/09/2023","7,270.00","7,266.60","7,270.00","7,156.50","1.33B","0.05%"
"21/09/2023","7,266.60","7,361.90","7,361.90","7,259.10","1.28B","-1.29%"
"20/09/2023","7,361.90","7,395.00","7,395.00","7,347.00","1.23B","-0.45%"
"19/09/2023","7,395.00","7,428.10","7,428.10","7,385.30","1.03B","-0.45%"
"18/09/2023","7,428.10","7,482.60","7,482.60","7,423.10","1.33B","-0.73%"
"15/09/2023","7,482.60","7,382.70","7,517.40","7,382.70","3.71B","1.35%"
"14/09/2023","7,382.70","7,345.70","7,395.60","7,340.50","1.08B","0.50%"
"13/09/2023","7,345.70","7,402.90","7,402.90","7,333.00","1.21B","-0.77%"
"12/09/2023","7,402.90","7,387.80","7,403.50","7,352.10","1.12B","0.20%"
"11/09/2023","7,387.80","7,358.10","7,387.80","7,331.00","1.03B","0.40%"
"08/09/2023","7,358.10","7,374.90","7,379.60","7,338.00","996.14M","-0.23%"
"07/09/2023","7,374.90","7,461.60","7,461.60","7,361.10","1.09B","-1.16%"
"06/09/2023","7,461.60","7,516.80","7,516.80","7,456.50","1.21B","-0.73%"
"05/09/2023","7,516.80","7,525.70","7,526.10","7,473.40","890.42M","-0.12%"
"04/09/2023","7,525.70","7,489.90","7,548.40","7,489.90","1.13B","0.48%"
"01/09/2023","7,489.90","7,517.80","7,517.80","7,478.30","946.06M","-0.37%"
"31/08/2023","7,517.80","7,506.80","7,521.40","7,504.40","1.94B","0.15%"
"30/08/2023","7,506.80","7,416.40","7,524.20","7,416.40","1.21B","1.22%"
"29/08/2023","7,416.40","7,365.90","7,416.40","7,365.00","1.24B","0.69%"
"28/08/2023","7,365.90","7,332.60","7,368.30","7,332.60","1.39B","0.45%"
"25/08/2023","7,332.60","7,400.50","7,400.50","7,306.70","1.05B","-0.92%"
"24/08/2023","7,400.60","7,367.60","7,413.50","7,367.60","1.18B","0.45%"
"23/08/2023","7,367.60","7,346.40","7,392.50","7,335.00","1.03B","0.29%"
"22/08/2023","7,346.40","7,335.90","7,348.30","7,313.80","1.14B","0.14%"
"21/08/2023","7,335.90","7,366.00","7,366.00","7,335.90","1.03B","-0.41%"
"18/08/2023","7,366.00","7,364.40","7,384.50","7,342.20","1.18B","0.02%"
"17/08/2023","7,364.40","7,411.80","7,411.80","7,322.20","1.31B","-0.64%"
"16/08/2023","7,411.80","7,520.40","7,520.40","7,400.40","1.10B","-1.44%"
"15/08/2023","7,520.40","7,493.10","7,544.10","7,488.40","1.05B","0.36%"
"14/08/2023","7,493.10","7,554.20","7,554.20","7,475.30","918.40M","-0.81%"
"11/08/2023","7,554.20","7,568.50","7,574.60","7,544.30","896.88M","-0.19%"
"10/08/2023","7,568.50","7,543.40","7,568.50","7,530.30","1.14B","0.33%"
"09/08/2023","7,543.40","7,519.70","7,546.00","7,514.80","1.06B","0.32%"
"08/08/2023","7,519.70","7,519.90","7,553.20","7,518.70","1.11B","0.00%"
"07/08/2023","7,519.90","7,535.90","7,538.10","7,506.20","735.39M","-0.21%"
"04/08/2023","7,535.90","7,522.30","7,535.90","7,495.00","960.20M","0.18%"
"03/08/2023","7,522.30","7,568.40","7,568.40","7,497.40","935.22M","-0.61%"
"02/08/2023","7,568.40","7,663.70","7,663.70","7,557.20","894.74M","-1.24%"
"01/08/2023","7,663.70","7,622.20","7,683.00","7,622.20","964.41M","0.54%"
"31/07/2023","7,622.20","7,616.10","7,649.70","7,587.90","998.18M","0.08%"
"28/07/2023","7,616.10","7,672.60","7,672.60","7,567.60","958.35M","-0.74%"
"27/07/2023","7,672.60","7,617.80","7,689.40","7,604.00","1.08B","0.72%"
"26/07/2023","7,617.80","7,554.70","7,635.80","7,554.30","982.08M","0.84%"
"25/07/2023","7,554.70","7,517.30","7,559.00","7,517.30","969.34M","0.50%"
"24/07/2023","7,517.30","7,526.80","7,544.10","7,517.30","1.04B","-0.13%"
"21/07/2023","7,526.80","7,541.90","7,541.90","7,501.30","1.02B","-0.20%"
"20/07/2023","7,541.90","7,538.20","7,598.70","7,538.20","1.02B","0.05%"
"19/07/2023","7,538.20","7,496.70","7,548.50","7,496.70","1.02B","0.55%"
"18/07/2023","7,496.70","7,511.60","7,511.60","7,474.50","873.29M","-0.20%"
"17/07/2023","7,511.60","7,517.10","7,520.40","7,489.10","896.20M","-0.07%"
"14/07/2023","7,517.10","7,455.40","7,526.30","7,455.40","971.02M","0.83%"
"13/07/2023","7,455.40","7,341.50","7,464.20","7,341.50","1.10B","1.55%"
"12/07/2023","7,341.50","7,315.80","7,365.70","7,315.80","834.14M","0.35%"
"11/07/2023","7,315.80","7,206.90","7,315.80","7,206.90","797.79M","1.51%"
"10/07/2023","7,206.90","7,244.10","7,288.60","7,201.00","802.25M","-0.51%"
"07/07/2023","7,244.10","7,365.00","7,365.00","7,222.70","868.31M","-1.64%"
"06/07/2023","7,365.00","7,453.90","7,453.90","7,346.00","947.57M","-1.18%"
"05/07/2023","7,453.10","7,478.90","7,480.90","7,446.60","891.98M","-0.34%"
"04/07/2023","7,478.90","7,442.80","7,484.30","7,431.70","895.24M","0.49%"
"03/07/2023","7,442.80","7,401.50","7,448.70","7,398.10","1.02B","0.56%"
"30/06/2023","7,401.50","7,389.60","7,405.70","7,360.10","1.05B","0.16%"
"29/06/2023","7,389.60","7,384.10","7,412.00","7,375.70","1.02B","0.07%"
"28/06/2023","7,384.10","7,300.00","7,399.10","7,300.00","1.07B","1.15%"
"27/06/2023","7,300.00","7,264.10","7,307.10","7,264.10","1.00B","0.49%"
"26/06/2023","7,264.10","7,285.60","7,285.60","7,240.70","979.61M","-0.30%"
"23/06/2023","7,285.60","7,381.00","7,381.90","7,274.20","1.03B","-1.29%"
"22/06/2023","7,381.00","7,505.60","7,505.60","7,372.90","1.09B","-1.66%"
"21/06/2023","7,505.60","7,548.50","7,548.50","7,505.60","1.13B","-0.57%"
"20/06/2023","7,548.50","7,489.20","7,557.50","7,489.20","1.10B","0.79%"
"19/06/2023","7,489.20","7,451.20","7,496.70","7,447.00","1.00B","0.51%"
"16/06/2023","7,451.20","7,370.00","7,461.30","7,370.00","2.27B","1.10%"
"15/06/2023","7,370.00","7,354.20","7,391.90","7,353.20","1.29B","0.21%"
"14/06/2023","7,354.20","7,329.10","7,361.40","7,328.80","1.30B","0.34%"
"13/06/2023","7,329.10","7,312.30","7,329.10","7,291.80","1.18B","0.23%"
"09/06/2023","7,312.30","7,288.30","7,319.20","7,288.30","996.52M","0.33%"
"08/06/2023","7,288.30","7,310.40","7,323.60","7,281.70","1.06B","-0.30%"
"07/06/2023","7,310.40","7,319.90","7,355.30","7,310.40","1.11B","-0.13%"
"06/06/2023","7,319.90","7,401.20","7,401.20","7,316.00","1.18B","-1.10%"
"05/06/2023","7,401.20","7,331.20","7,419.10","7,331.20","959.86M","0.95%"
"02/06/2023","7,331.20","7,290.70","7,344.40","7,290.70","1.02B","0.56%"
